Ascent Type,Route Grade,Ascent Grade,Route Height,Route Stars,Country,Crag Name,Crag Path,Quality,Ascent_day,Ascent_month,Ascent_year,cons_grade
Flash,7,7,20,2,Norway,Drammen,Drammen - Damtjern - Vegglus Sektoren,Classic,30,8,2020,38
Red point,6-,6-,20,0,Norway,Drammen,Drammen - Damtjern - Baker Sektoren,Good,30,8,2020,28
Red point,7 to 7+,7,23,3,Norway,Drammen,Drammen - Damtjern - Baker Sektoren,Classic,30,8,2020,33
Flash,6c,6c,22,2,Norway,Jarberget,Jarberget,Very Good,29,8,2020,36
Flash,6c,6c,22,3,Norway,Jarberget,Jarberget,Classic,29,8,2020,36
Red point,7a,7a,25,2,Norway,Jarberget,Jarberget,Classic,29,8,2020,40
Red point,7+,7+,10,0,Norway,Fetsund,Fetsund - Hovedveggen,Average,28,8,2020,40
Red point,7+,7+,17,3,Norway,Fetsund,Fetsund - Hovedveggen,Classic,24,8,2020,40
Red point,7c,7c,17,3,Norway,Fetsund,Fetsund - Hovedveggen,Classic,24,8,2020,48
Red point,6,6,17,2,Norway,Fetsund,Fetsund - Venstre,Very Good,24,8,2020,31
Red point,7a+,7a+,17,1,Norway,Fetsund,Fetsund - Hovedveggen,Good,17,8,2020,42
Red point,7+,7+,17,3,Norway,Fetsund,Fetsund - Hovedveggen,Classic,8,10,2020,40
Red point,6,6,17,2,Norway,Fetsund,Fetsund - Venstre,Very Good,8,10,2020,31
Flash,6a+,6b,20,1,Norway,Jarberget,Jarberget,Good,7,12,2020,30
Flash,6b+,6b+,15,2,Norway,Jarberget,Jarberget,Very Good,7,12,2020,34
Flash,6c,6c,25,2,Norway,Jarberget,Jarberget,Very Good,7,11,2020,36
Red point,7b+,7b,50,2,Norway,Jarberget,Jarberget,Very Good,7,11,2020,46
Flash,6+,6+,17,1,Norway,Svaraberget,Svaraberget,Good,26,6,2020,34
Flash,7,7,16,2,Norway,Svaraberget,Svaraberget,Very Good,26,6,2020,38
Flash,7-,7-,15,2,Norway,Svaraberget,Svaraberget,Classic,26,6,2020,36
Red point,7+/8-,7+,19,1,Norway,Svaraberget,Svaraberget,Very Good,26,6,2020,42
Flash,5-,5-,15,1,Norway,Svaraberget,Svaraberget,Good,26,6,2020,17
Red point,6a+,6a+,14,1,Norway,Utsikten,Utsikten - Venstre,Good,13,6,2020,30
Red point,6b+,6b+,14,1,Norway,Utsikten,Utsikten - Venstre,Good,13,6,2020,34
Flash,6+,6+,15,2,Norway,Fetsund,Fetsund - Venstre,Good,6,11,2020,34
Red point,7b+,7b+,22,1,Norway,Hammer'n,Hammer'n - Sarajevo,Good,6,2,2020,46
Red point,7+,7+,17,1,Norway,Fetsund,Fetsund - Hovedveggen,Average,31,5,2020,40
Red point,8,8,17,2,Norway,Fetsund,Fetsund - Venstre,Very Good,31,5,2020,46
Flash,7-,7-,20,1,Norway,Hauktjern,Hauktjern - Gamlefeltet,Good,30,5,2020,36
Red point,7-,7-,20,3,Norway,Hauktjern,Hauktjern - Gamlefeltet,Classic,30,5,2020,36
Flash,4a,4a,13,1,Norway,Hammer'n,Hammer'n - Svaveggen,Good,26,5,2020,14
Red point,5b,5b,13,1,Norway,Hammer'n,Hammer'n - Svaveggen,Good,26,5,2020,22
Red point,6c+,6c+,22,1,Norway,Hammer'n,Hammer'n - Sarajevo,Average,26,5,2020,38
Red point,6b+,6b+,18,1,Norway,Hammer'n,Hammer'n - Imsdal,Very Good,26,5,2020,34
Flash,6,6,15,1,Norway,Drammen,Drammen - Hyggen - Mellomveggen - Hylleveggen,Good,18,5,2020,31
Flash,7+,7,10,1,Norway,Drammen,Drammen - Hyggen - Mellomveggen - Hylleveggen,Good,18,5,2020,40
Flash,5-,5-,15,2,Norway,Drammen,Drammen - Hyggen - Mellomveggen - Hylleveggen,Very Good,18,5,2020,17
Flash,6-,6-,12,1,Norway,Drammen,Drammen - Hyggen - Mellomveggen - Hylleveggen,Good,16,5,2020,28
Flash,5,5,10,2,Norway,Drammen,Drammen - Hyggen - Mellomveggen - Hylleveggen,Very Good,16,5,2020,19
Flash,4+,4+,12,2,Norway,Drammen,Drammen - Hyggen - Mellomveggen - Østveggen Venstre,Very Good,5,9,2020,15
Red point,7+,7+,10,1,Norway,Drammen,Drammen - Hyggen - Mellomveggen - Hjørneveggen,Good,5,9,2020,40
Flash,5+,5+,10,2,Norway,Drammen,Drammen - Hyggen - Mellomveggen - Hjørneveggen,Good,5,9,2020,22
Flash,5+,5+,10,2,Norway,Drammen,Drammen - Hyggen - Mellomveggen - Arneveggen,Very Good,5,9,2020,22
Flash,5,5,12,2,Norway,Skullerud,Skullerud,Good,5,8,2020,19
Red point,7-,7-,12,0,Norway,Skullerud,Skullerud,Good,5,8,2020,36
Flash,7-,6+,10,1,Norway,Skullerud,Skullerud,Good,5,8,2020,36
Flash,5+,5+,15,2,Norway,Skullerud,Skullerud,Good,5,5,2020,22
Flash,6,6,15,2,Norway,Skullerud,Skullerud,Very Good,5,5,2020,31
Red point,8-,8-,18,2,Norway,Drammen,Drammen - Bera - Storveggen,Classic,5,3,2020,43
Red point,6c,6c,14,1,Norway,Utsikten,Utsikten - Venstre,Good,29,4,2020,36
Flash,7/7+,7,15,2,Norway,Svaraberget,Svaraberget,Very Good,26,4,2020,39
Flash,7/7+,7,20,2,Norway,Svaraberget,Svaraberget,Very Good,26,4,2020,39
Flash,6,6,18,2,Norway,Svaraberget,Svaraberget,Very Good,26,4,2020,31
Flash,6+,6+,18,1,Norway,Svaraberget,Svaraberget,Very Good,26,4,2020,34
Flash,6/6+,6,17,2,Norway,Svaraberget,Svaraberget,Very Good,26,4,2020,26
Flash,6,6,17,2,Norway,Svaraberget,Svaraberget,Classic,26,4,2020,31
Flash,5-,5-,15,2,Norway,Svaraberget,Svaraberget,Very Good,26,4,2020,17
Red point,6+,6+,15,2,Norway,Fetsund,Fetsund - Hovedveggen,Good,25,4,2020,34
Red point,7+,7+,17,3,Norway,Fetsund,Fetsund - Hovedveggen,Classic,25,4,2020,40
Red point,8-,8-,17,1,Norway,Fetsund,Fetsund - Hovedveggen,Good,25,4,2020,43
Red point,7+,7+,20,1,Norway,Hellerud,Hellerud,Very Good,23,4,2020,40
Red point,6c,6c,14,1,Norway,Utsikten,Utsikten - Venstre,Good,21,4,2020,36
Red point,7+,7+,18,0,Norway,Sandbakken,Sandbakken - Hovedveggen,Good,19,4,2020,40
Flash,7,7,15,2,Norway,Sandbakken,Sandbakken - Hovedveggen,Very Good,19,4,2020,38
Red point,6,6,18,1,Norway,Sandbakken,Sandbakken - Hovedveggen,Very Good,19,4,2020,31
Flash,7+,7+,30,3,Norway,Hvarnes,Hvarnes - Venstre,Classic,18,4,2020,40
Flash,7/7+,7,35,2,Norway,Hvarnes,Hvarnes - Høyre,Very Good,18,4,2020,39
Flash,5,5,18,1,Norway,Hvarnes,Hvarnes - Høyre,Good,18,4,2020,19
Red point,6c,6c+,15,1,Norway,Utsikten,Utsikten - Venstre,Good,15,4,2020,36
Flash,6a,6a+,15,2,Norway,Kløvberget,Kløvberget,Good,13,4,2020,28
Flash,6a+,6b,15,1,Norway,Kløvberget,Kløvberget,Good,13,4,2020,30
Red point,6c+,6c+,15,0,Norway,Kløvberget,Kløvberget,Average,13,4,2020,38
Flash,6b,6b,15,2,Norway,Kløvberget,Kløvberget,Good,13,4,2020,32
Flash,5a,5b,15,0,Norway,Kløvberget,Kløvberget,Average,13,4,2020,20
Flash,6a,6b,15,1,Norway,Kløvberget,Kløvberget,Good,13,4,2020,28
Flash,6b+,6b+,15,2,Norway,Kløvberget,Kløvberget,Very Good,13,4,2020,34
Flash,5c,5c,15,1,Norway,Kløvberget,Kløvberget,Average,13,4,2020,24
