Route Name;Ascent Label;Ascent Type;Route Grade;Ascent Grade;Route Gear Style;Ascent Gear Style;Route Height;Ascent Height;# Ascents;Route Stars;Route ID;Route Link;Country;Country Link;Crag Name;Crag Link;Crag Path;Quality;Ascent Date;Log Date;Shot
Isili;;Flash;5c+;;Sport;Sport;;;1;;278368509;http://www.thecrag.com/route/278368509;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Tannenfluh - Obere Tannenflue;Very Good;12.02.2023 01:00;13.02.2023 09:33;
Fiesili;;Flash;6a+;;Sport;Sport;;;1;**;565806846;http://www.thecrag.com/route/565806846;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Tannenfluh - Obere Tannenflue;Classic;12.02.2023 01:00;13.02.2023 09:33;
Fetter Riß;;Hang dog;6;;Sport;Sport;;;1;*;251662173;http://www.thecrag.com/route/251662173;Germany;http://www.thecrag.com/area/11747131;Todtnauer Klettergarten;http://www.thecrag.com/area/251657694;Todtnauer Klettergarten - Schwimmbadfels;Very Good;07.01.2023 01:00;07.01.2023 21:37;
Ex Wackelstein;;Flash;5;;Sport;Sport;11m;;1;**;251662023;http://www.thecrag.com/route/251662023;Germany;http://www.thecrag.com/area/11747131;Todtnauer Klettergarten;http://www.thecrag.com/area/251657694;Todtnauer Klettergarten - Schwimmbadfels;Very Good;07.01.2023 01:00;07.01.2023 21:37;
Krise des Optimismus;;Flash;8-;;Sport;Sport;;;1;*;251659122;http://www.thecrag.com/route/251659122;Germany;http://www.thecrag.com/area/11747131;Todtnauer Klettergarten;http://www.thecrag.com/area/251657694;Todtnauer Klettergarten - Hartköpfle;Very Good;07.01.2023 01:00;07.01.2023 21:35;
La der du vieux;;Flash;5b;;Sport;Sport;;;1;*;2330138232;http://www.thecrag.com/route/2330138232;France;http://www.thecrag.com/area/11747155;Pont de Roide;http://www.thecrag.com/area/1408210269;Pont de Roide;Good;01.01.2023 01:00;01.01.2023 22:07;
La haut (O);;Flash;5c;;Sport;Sport;;;1;;2330138418;http://www.thecrag.com/route/2330138418;France;http://www.thecrag.com/area/11747155;Pont de Roide;http://www.thecrag.com/area/1408210269;Pont de Roide;Good;01.01.2023 01:00;01.01.2023 22:06;
Ciboulette;;Hang dog;7a;;Sport;Sport;;;1;**;2293623273;http://www.thecrag.com/route/2293623273;France;http://www.thecrag.com/area/11747155;Baume les Dames;http://www.thecrag.com/area/1394723259;Baume les Dames - Quint - Pacific;Very Good;31.12.2022 01:00;02.01.2023 15:41;
Plein est;;Onsight;6a;;Sport;Sport;;;1;**;7039234896;http://www.thecrag.com/route/7039234896;France;http://www.thecrag.com/area/11747155;Baume les Dames;http://www.thecrag.com/area/1394723259;Baume les Dames - Quint - Plein est;Very Good;31.12.2022 01:00;02.01.2023 15:40;
Reivax;;Onsight;5c+;;Sport;Sport;;;1;**;7039234803;http://www.thecrag.com/route/7039234803;France;http://www.thecrag.com/area/11747155;Baume les Dames;http://www.thecrag.com/area/1394723259;Baume les Dames - Quint - Plein est;Very Good;31.12.2022 01:00;02.01.2023 15:39;
